date,min,max,median,q1,q3,stdev,count
2020-05-06T00:00:00.000Z,0.55,3.45,1.2,0.96,1.44,0.425,594
2020-05-07T00:00:00.000Z,0.5,7.4,1.06,0.88,1.23,0.516,388
2020-05-08T00:00:00.000Z,1.1,5.72,2.82,2.08,3.49,1.029,353
2020-05-09T00:00:00.000Z,0.4,2.92,0.74,0.61,1.02,0.371,340
2020-05-10T00:00:00.000Z,0.41,9.15,3.2,1.74,5.18,2.068,249
2020-05-11T00:00:00.000Z,0.45,2.56,0.81,0.62,0.97,0.265,351
2020-05-12T00:00:00.000Z,0.4,2.77,0.85,0.7,1.06,0.303,479
2020-05-13T00:00:00.000Z,0.3,7.68,0.9,0.7,1.12,0.63,466
2020-05-14T00:00:00.000Z,0.6,3.08,1.2,0.95,1.53,0.499,458
2020-05-15T00:00:00.000Z,0.53,2.88,1.08,0.87,1.29,0.363,537
2020-05-16T00:00:00.000Z,0.4,2.15,0.88,0.74,1.06,0.272,331
2020-05-17T00:00:00.000Z,0.25,2.04,0.75,0.45,1.1,0.389,538
2020-05-18T00:00:00.000Z,0.25,46.94,0.73,0.52,0.92,2.968,469
2020-05-19T00:00:00.000Z,0.38,8.21,0.93,0.76,1.18,0.644,534
2020-05-20T00:00:00.000Z,0.48,43.87,1,0.75,1.36,2.8,536
2020-05-21T00:00:00.000Z,0.42,3.72,1.05,0.73,1.62,0.556,459
2020-05-22T00:00:00.000Z,0.8,5.03,1.78,1.51,2.27,0.578,439
2020-05-23T00:00:00.000Z,0.74,8.8,1.95,1.43,2.67,1.847,395
2020-05-24T00:00:00.000Z,1.55,10.9,3.58,2.74,5.04,1.932,464
2020-05-25T00:00:00.000Z,1.2,10.45,2.27,1.92,3.19,1.907,545
2020-05-26T00:00:00.000Z,1,44.1,1.95,1.62,2.9,3.019,493
2020-05-27T00:00:00.000Z,0.95,4.75,2.04,1.7,2.44,0.541,465
2020-05-28T00:00:00.000Z,0.47,3.03,1.35,1.1,1.73,0.538,280
2020-05-29T00:00:00.000Z,0.35,48.78,1,0.77,1.75,2.276,538
2020-05-30T00:00:00.000Z,0.2,6.5,0.6,0.49,0.8,0.542,565
2020-05-31T00:00:00.000Z,0.2,1.98,0.5,0.4,0.7,0.202,492
2020-06-01T00:00:00.000Z,0.3,9.32,1.19,0.82,1.55,0.818,494
2020-06-02T00:00:00.000Z,0.7,2.93,1.35,1.14,1.65,0.439,525
2020-06-03T00:00:00.000Z,0.8,6.37,1.86,1.53,2.37,1.306,438
2020-06-04T00:00:00.000Z,1.37,24.98,3.25,2.35,3.97,1.848,535
2020-06-05T00:00:00.000Z,2.45,10.05,5.07,4.28,5.93,1.451,443
2020-06-06T00:00:00.000Z,0.3,5.93,1.27,0.8,2.45,1.351,494
2020-06-07T00:00:00.000Z,0.5,3.63,1.17,0.95,1.45,0.403,540
2020-06-08T00:00:00.000Z,0.6,4.8,1.7,1.27,2.27,0.664,516
2020-06-09T00:00:00.000Z,0.6,4.3,1.7,1.25,2.69,0.846,420
2020-06-10T00:00:00.000Z,0.32,47.13,0.7,0.6,0.85,2.721,503
2020-06-11T00:00:00.000Z,0.3,2.75,0.8,0.68,0.98,0.295,307
2020-06-12T00:00:00.000Z,0.8,14.57,1.75,1.58,2.02,1.643,195
2020-06-13T00:00:00.000Z,0.56,2.52,1.27,0.97,1.6,0.423,425
2020-06-14T00:00:00.000Z,0.7,4.25,1.4,1.1,2.04,0.67,222
2020-06-15T00:00:00.000Z,0.88,6.2,1.6,1.37,1.98,0.598,519
2020-06-16T00:00:00.000Z,1.3,10.43,2.33,1.9,2.92,1.429,439
2020-06-17T00:00:00.000Z,1.75,11.88,4.2,3.15,5.45,1.702,536
2020-06-18T00:00:00.000Z,2.1,10.18,3.7,3.19,4.67,1.789,508
2020-06-19T00:00:00.000Z,1.17,7.68,3.33,2,3.9,1.337,484
