date,min,max,median,q1,q3,stdev,count
2020-12-17T00:00:00.000Z,2.29,21.37,4.8,3.83,5.83,1.889,280
2020-12-18T00:00:00.000Z,0.1,6.57,2.1,0.63,3.5,1.599,309
2020-12-19T00:00:00.000Z,5.13,13.57,8.27,7.4,9.4,1.726,290
2020-12-20T00:00:00.000Z,3.07,25.73,12.14,8.25,15.64,5.693,304
2020-12-21T00:00:00.000Z,1.9,12.93,3.93,3.5,4.57,0.98,298
2020-12-22T00:00:00.000Z,1,29.63,4.23,3.57,6.2,2.591,284
2020-12-23T00:00:00.000Z,0.1,3.57,1.03,0.8,1.4,0.489,307
2020-12-24T00:00:00.000Z,0.2,3.8,1,0.7,1.43,0.547,285
2020-12-25T00:00:00.000Z,0.03,3.53,0.87,0.47,1.49,0.573,309
2020-12-26T00:00:00.000Z,0.77,20.97,1.9,1.6,2.49,2.422,293
2020-12-27T00:00:00.000Z,0.83,7.1,3.23,1.8,4.37,1.598,305
2020-12-28T00:00:00.000Z,0.7,11.2,5.7,4.47,7.2,1.932,293
2020-12-29T00:00:00.000Z,1.27,12.3,5.12,3.45,8.32,2.848,292
2020-12-30T00:00:00.000Z,0.5,21.2,3.1,1.7,6.6,3.371,290
2020-12-31T00:00:00.000Z,1.3,71.37,3.57,2.9,4.93,7.248,306
2021-01-01T00:00:00.000Z,2.1,61.17,3.97,3.17,5.73,14.822,289
2021-01-02T00:00:00.000Z,1.17,7.9,3.75,2.73,5,1.676,268
2021-01-03T00:00:00.000Z,0.3,3.03,1.4,1,1.6,0.429,283
2021-01-04T00:00:00.000Z,0.73,8.47,2.82,1.7,3.53,1.116,282
2021-01-05T00:00:00.000Z,0.9,5.77,2.06,1.7,2.43,0.615,270
2021-01-06T00:00:00.000Z,0.5,4.8,2.7,2.13,3.23,0.849,284
2021-01-07T00:00:00.000Z,1.27,13.57,3.17,2.2,3.9,1.356,276
2021-01-08T00:00:00.000Z,1.57,10.6,4.2,2.73,6.4,2.054,290
2021-01-09T00:00:00.000Z,2.8,25.3,6,4.5,8.47,3.443,287
2021-01-10T00:00:00.000Z,0.6,8.73,2.29,1.5,2.97,1.434,280
2021-01-11T00:00:00.000Z,0.2,13.1,1.73,0.77,3.09,1.78,265
2021-01-12T00:00:00.000Z,0.07,3.53,0.9,0.5,1.47,0.67,271
2021-01-13T00:00:00.000Z,0.2,13.43,3.87,0.93,6.43,3.262,266
2021-01-14T00:00:00.000Z,1.4,10.3,4.8,2.97,6.13,2.078,256
2021-01-15T00:00:00.000Z,0.87,4.8,2.17,1.73,2.67,0.66,278
2021-01-16T00:00:00.000Z,0.8,4.26,1.7,1.42,2,0.525,269
2021-01-17T00:00:00.000Z,0.1,6.23,2.13,1.43,3.33,1.288,252
2021-01-18T00:00:00.000Z,1.7,7.37,4.09,3.5,4.7,1.157,242
2021-01-19T00:00:00.000Z,4.4,15.73,9.83,7.82,11.32,2.535,217
2021-01-20T00:00:00.000Z,5.53,38.93,16.3,10.33,23.6,7.64,268
2021-01-21T00:00:00.000Z,1.3,21.57,3.84,2.85,8,4.469,248
2021-01-22T00:00:00.000Z,0,12.33,1.93,1.53,2.73,2.383,254
2021-01-23T00:00:00.000Z,0.4,15.87,2.2,1.54,4.12,1.853,248
2021-01-24T00:00:00.000Z,0.97,9.97,4.47,3.73,5.17,1.29,279
2021-01-25T00:00:00.000Z,0.4,7.53,1.27,0.9,1.7,0.672,243
2021-01-26T00:00:00.000Z,0.2,4.2,1.3,0.6,1.85,0.714,284
2021-01-27T00:00:00.000Z,0.67,6.33,2.1,1.45,2.72,0.917,253
2021-01-28T00:00:00.000Z,1.12,7.27,2.6,2.1,3.3,1.129,296
2021-01-29T00:00:00.000Z,1.57,8.6,3.9,3.37,4.53,0.893,282
2021-01-30T00:00:00.000Z,0.9,4.8,1.9,1.6,2.33,0.532,265
2021-01-31T00:00:00.000Z,0.7,4.5,1.4,1.12,1.97,0.69,285
2021-02-01T00:00:00.000Z,0.87,13.4,3.42,1.7,6.39,2.855,228
2021-02-02T00:00:00.000Z,0.07,9.36,3.1,2.17,5.09,2.136,251
2021-02-03T00:00:00.000Z,2,8.43,3.57,3.1,4,0.726,251
2021-02-04T00:00:00.000Z,0.73,5.3,2.1,1.77,2.75,0.794,273
2021-02-05T00:00:00.000Z,1.1,8.8,3.87,2.63,4.59,1.52,239
2021-02-06T00:00:00.000Z,0.7,3.5,1.67,1.39,1.97,0.444,249
2021-02-07T00:00:00.000Z,0.6,3.47,1.4,1.12,1.7,0.413,214
2021-02-08T00:00:00.000Z,0.3,8.17,1.1,0.83,1.4,0.77,172
2021-02-09T00:00:00.000Z,0.1,4.3,0.97,0.6,1.3,0.549,135
2021-02-10T00:00:00.000Z,1,4.59,1.7,1.53,2.1,0.652,74
2021-02-11T00:00:00.000Z,0.53,12.97,1.53,1.27,2.29,1.128,157
2021-02-12T00:00:00.000Z,0.4,9.13,1.4,1.1,1.97,0.898,260
2021-02-13T00:00:00.000Z,0.07,2.27,0.77,0.6,0.97,0.299,224
2021-02-14T00:00:00.000Z,0.2,2.63,0.7,0.5,1.17,0.517,237
2021-02-15T00:00:00.000Z,0.8,8.19,1.6,1.37,1.9,0.624,230
2021-02-16T00:00:00.000Z,0.7,4.9,2.2,1.52,2.52,0.748,201
2021-02-17T00:00:00.000Z,0.4,12.8,1.1,0.8,1.47,1.134,235
2021-02-18T00:00:00.000Z,0.47,10.1,1.93,1.27,3,1.985,271
2021-02-19T00:00:00.000Z,7.43,49,21.83,15.7,33.03,9.599,243
2021-02-20T00:00:00.000Z,2.33,16.6,4.45,3.7,8.3,3.607,254
2021-02-21T00:00:00.000Z,3.7,10.47,6.69,5.23,8.19,1.773,254
2021-02-22T00:00:00.000Z,3.83,43.33,9.77,7.67,13.35,4.512,217
2021-02-23T00:00:00.000Z,7.53,32.86,15.5,10.42,26.42,7.866,225
2021-02-24T00:00:00.000Z,2.33,23.53,9.3,5.74,17.36,5.876,225
2021-02-25T00:00:00.000Z,1.2,7.47,3.23,2.57,4.59,1.441,239
2021-02-26T00:00:00.000Z,0.1,5.63,1.8,1.07,2.4,0.936,229
